train/learning_rate,train/critic_loss,time/episodes,train/actor_loss,train/n_updates,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps
0.001,116.80574493408203,188,-37.85315132141113,2074,46.893111129999994,2177,473,10.68,4
0.001,93.14201312594943,192,-40.33152431911893,2111,47.081953510000005,2214,479,10.5,4
0.001,88.72799549102783,196,-41.18504524230957,2149,46.91829365,2253,487,10.36,4
0.001,90.27219276428222,200,-42.943214416503906,2192,46.4871347,2296,495,10.3,4
0.001,112.18787977430556,204,-42.79743448893229,2232,46.556329010000006,2336,503,10.26,4
0.001,63.12027324329723,208,-44.63405435735529,2273,47.40153671,2378,512,10.29,4
0.001,86.63936164162375,212,-45.097917730158024,2315,50.23559643000001,2419,520,10.3,4
0.001,67.81677761077881,216,-46.426958084106445,2356,53.21788836,2461,528,10.28,4
0.001,83.6646842956543,220,-46.52815686739408,2399,55.39404552,2504,538,10.27,4
0.001,71.66269054412842,224,-46.98519172668457,2441,55.05638731999999,2545,548,10.19,4
0.001,63.64882451837713,228,-48.17229045521129,2483,57.262551200000004,2588,558,10.21,4
0.001,59.0374051729838,232,-48.95920753479004,2530,57.32138636,2635,569,10.28,4
0.001,54.735046039928086,236,-49.477813720703125,2575,58.25379738000001,2681,580,10.34,4
0.001,64.0926091330392,240,-49.43600218636649,2623,56.99858969000001,2726,591,10.39,4
0.001,46.16647322972616,244,-50.68443012237549,2666,57.884769690000006,2776,602,10.46,4
0.001,61.871776262919106,248,-50.48527526855469,2715,58.719213309999994,2820,613,10.48,4
0.001,56.53244708134578,252,-51.870812342717095,2766,55.44657302999999,2874,626,10.63,4
0.001,48.79868049621582,256,-52.83731307983398,2821,54.31423131999999,2925,639,10.71,4
0.001,68.10997072855632,260,-52.8539670308431,2864,52.099791429999996,2971,650,10.77,4
0.001,58.719934622446694,264,-52.6290340423584,2912,55.32404687999999,3015,659,10.73,4
0.001,55.510283036665484,268,-54.076265508478336,2953,54.40911204,3058,670,10.77,4
0.001,48.785299682617186,272,-54.68893051147461,2994,54.05801205999999,3099,678,10.78,4
0.001,82.93794040679931,276,-55.478942489624025,3036,52.382545229999984,3155,691,10.97,4
0.001,70.21925487518311,280,-55.86510047912598,3096,52.69925852,3201,701,11.04,4
0.001,71.90014629364013,284,-55.30676345825195,3138,52.95722833000001,3246,711,11.08,4
0.001,71.54163646697998,288,-54.93636817932129,3185,51.69938314000001,3290,721,11.13,4
